formatname,minutes,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,play3PA,play3PM,playFTA,playFTM,playORB,playDRB,playTRB,possOnCourt,possUsed,games
JustinJackson,1475.1166666529996,453.0,74.0,40.0,28.0,13.0,81.0,418.0,185.0,185.0,57.0,36.0,26.0,27.0,160.0,187.0,2976.671750906315,423.81281055373256,68
JustinPatton,3.733333333,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.167619999181461,2.062714499815829,1
JustiseWinslow,1680.4666666729997,529.0,148.0,77.0,53.0,33.0,140.0,487.0,207.0,130.0,49.0,104.0,66.0,64.0,306.0,370.0,3403.2978375127473,553.7098548558437,68
JusufNurkic,2088.1500000100004,1132.0,143.0,183.0,64.0,111.0,247.0,951.0,480.0,7.0,0.0,273.0,172.0,189.0,519.0,708.0,4298.668103146621,1126.2050831597367,79
KadeemAllen,107.200000004,19.0,12.0,9.0,3.0,2.0,15.0,22.0,6.0,11.0,0.0,9.0,7.0,4.0,7.0,11.0,217.56068471833305,30.450597754040764,18
KarlAnthonyTowns,2918.2166666799994,1743.0,199.0,160.0,64.0,116.0,285.0,1171.0,639.0,285.0,120.0,402.0,345.0,241.0,774.0,1015.0,5875.240215652732,1344.1359584502845,82
KawhiLeonard,209.86666666999997,146.0,21.0,16.0,18.0,9.0,9.0,111.0,52.0,35.0,11.0,38.0,31.0,6.0,36.0,42.0,424.68248282035745,132.43171701930083,9
KayFelder,139.549999992,57.0,20.0,16.0,3.0,1.0,11.0,70.0,21.0,19.0,4.0,12.0,11.0,3.0,15.0,18.0,288.44935279646086,82.36486059977078,16
KellyOlynyk,1778.6666666399992,872.0,207.0,148.0,62.0,35.0,222.0,636.0,316.0,280.0,106.0,174.0,134.0,89.0,342.0,431.0,3551.2701880680547,779.5863079576643,76
KellyOubre,2230.69999999,953.0,98.0,90.0,80.0,35.0,234.0,790.0,318.0,369.0,126.0,233.0,191.0,59.0,303.0,362.0,4591.371685290589,884.051815842501,81
KembaWalker,2735.88333332,1770.0,444.0,179.0,92.0,24.0,98.0,1363.0,588.0,601.0,231.0,420.0,363.0,32.0,216.0,248.0,5690.542068721078,1556.8532066642338,80
KendrickPerkins,14.53333333,3.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,30.928204992906373,3.556743574184233,1
KennethFaried,460.7499999909999,188.0,18.0,23.0,12.0,13.0,51.0,148.0,76.0,1.0,0.0,51.0,36.0,68.0,86.0,154.0,932.9054590429675,164.72371520808358,32
KentBazemore,1789.2166666599994,836.0,228.0,157.0,100.0,45.0,147.0,676.0,284.0,274.0,108.0,201.0,160.0,25.0,222.0,247.0,3698.7994002972546,842.0027806449062,65
KentaviousCaldwellPope,2457.916666680001,992.0,163.0,97.0,106.0,16.0,145.0,797.0,340.0,414.0,159.0,194.0,153.0,60.0,327.0,387.0,5209.310225652711,883.1673553669663,74
KevinDurant,2325.04999998,1792.0,366.0,208.0,50.0,119.0,133.0,1221.0,630.0,413.0,173.0,404.0,359.0,32.0,433.0,465.0,4953.564347142983,1480.7928116224602,68
KevinLove,1651.1166666600002,1039.0,103.0,90.0,43.0,24.0,120.0,730.0,334.0,330.0,137.0,266.0,234.0,101.0,444.0,545.0,3370.0208059252145,846.4557527197278,59
KevonLooney,910.149999982,267.0,42.0,31.0,34.0,55.0,106.0,192.0,112.0,5.0,1.0,77.0,42.0,84.0,132.0,216.0,1882.7479446510158,231.95904484454405,66
KhemBirch,578.4166666740001,178.0,34.0,21.0,15.0,21.0,56.0,126.0,68.0,0.0,0.0,61.0,42.0,70.0,110.0,180.0,1158.6840237639578,152.3469638087987,41
KhrisMiddleton,2981.8666666400004,1652.0,328.0,191.0,118.0,21.0,270.0,1271.0,593.0,406.0,146.0,362.0,320.0,45.0,382.0,427.0,6064.30156056841,1488.1660554635428,82
KlayThompson,2504.199999969999,1459.0,186.0,127.0,56.0,34.0,117.0,1178.0,574.0,520.0,229.0,98.0,82.0,31.0,246.0,277.0,5264.265507127563,1247.9096234967424,73
KobiSimmons,643.083333346,196.0,68.0,44.0,18.0,5.0,61.0,189.0,80.0,39.0,11.0,25.0,25.0,14.0,36.0,50.0,1300.7771012762735,218.46024758788187,32
