,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,,Feature,Importance,Cluster Average,League Average,%diff,Cluster,level,
,3PAr,0.160551659,0.006158273,0.221236179,-97.21642572,4,F,,PPS_03-08 Near Rim,0.184542347,0.738688529,0.733604761,0.692984681,5,C,,TS%,0.163851041,0.5425625,0.530298749,2.312611791,6,C,,USG%,0.181020873,20.78939709,19.22124188,8.158448956,7,C,
,PPS_09-12 Short Range,0.154723122,0.642468993,0.714600618,-10.09397742,4,C,,PPS_18-23 Long Jumper,0.149037352,0.739858289,0.720291872,2.716456746,5,C,,PPS_18-23 Long Jumper,0.160769445,0.553496392,0.720291872,-23.15665168,6,D,,PTS/36,0.131894942,14.89943252,14.11450299,5.561155986,7,C,
,PPS_18-23 Long Jumper,0.130899254,0.433185841,0.720291872,-39.85967932,4,D,,PPS_24-27 Three,0.14594535,0.741320318,0.77426968,-4.255540778,5,C,,PPS_09-12 Short Range,0.156744924,0.684679158,0.714600618,-4.187158401,6,C,,PPS_00-02 At Rim,0.115085871,1.140654919,1.216406061,-6.22745519,7,C,
,PPS_28-34 Deep,0.101483865,0.019604317,0.346365561,-94.33999256,4,F,,BLK%,0.126200956,1.778088427,1.654704578,7.456548457,5,C,,DBPM,0.14889946,1.429878049,-0.038064312,3856.479451,6,A,,PPS_03-08 Near Rim,0.036688488,0.714299572,0.733604761,-2.631551745,7,C,
,STL%,0.101188317,1.160071942,1.629748139,-28.81894356,4,D,,STL%,0.124437194,1.504161248,1.629748139,-7.705907888,5,C,,3PAr,0.139800743,0.01482622,0.221236179,-93.29846522,6,F,,TS%,0.030347087,0.522398129,0.530298749,-1.489843175,7,C,
,PPS_24-27 Three,0.092062536,0.160094001,0.77426968,-79.32322478,4,F,,PPS_28-34 Deep,0.11056447,0.237508498,0.346365561,-31.4283737,5,D,,BLK%,0.119664293,3.748323171,1.654704578,126.5252191,6,A,,PPS_09-12 Short Range,0.022424932,0.738065062,0.714600618,3.283574534,7,C,
,PPS_13-17 Mid Range,0.071853254,0.633165083,0.748227461,-15.37799452,4,C,,PPS_09-12 Short Range,0.110145916,0.71132224,0.714600618,-0.458770678,5,C,,TRB%,0.091706632,16.31067073,10.20684302,59.80132834,6,B,,PPS_13-17 Mid Range,0.008008284,0.780504357,0.748227461,4.313781307,7,C,
,DBPM,0.059628329,2.7,-0.038064312,7193.258427,4,A,,PPS_13-17 Mid Range,0.105465887,0.769175077,0.748227461,2.79963217,5,C,,PPS_28-34 Deep,0.072415992,0.040468931,0.346365561,-88.31612146,6,F,,PPS_28-34 Deep,-0.015519934,0.541539723,0.346365561,56.34918229,7,B,
,BLK%,0.00304953,5.530935252,1.654704578,234.255149,4,A,,3PAr,0.0329246,0.160793238,0.221236179,-27.32055016,5,D,,STL%,-0.008839683,1.222560976,1.629748139,-24.98466809,6,D,,PPS_18-23 Long Jumper,-0.055480095,0.783447949,0.720291872,8.768123074,7,C,
,FTr,-0.058327095,0.46844964,0.299567242,56.37545576,4,B,,FTr,0.030703403,0.303456437,0.299567242,1.298271034,5,C,,FTr,-0.09005495,0.400722561,0.299567242,33.76714958,6,B,,PPS_24-27 Three,-0.107160877,1.021706434,0.77426968,31.95743814,7,B,
,TOV%,-0.279110342,16.33705036,13.61544432,19.98910924,4,C,,TOV%,-0.083351752,12.67243173,13.61544432,-6.92605081,5,C,,TOV%,-0.224929977,14.67256098,13.61544432,7.764099573,6,C,,3PAr,-0.228982391,0.327112266,0.221236179,47.85658798,7,B,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
