index,cluster,formatname,Year
323,0,ChrisQuinn,2009
324,0,LukeRidnour,2009
325,0,SergioRodriguez,2009
326,0,SebastianTelfair,2009
327,0,EarlWatson,2009
328,0,DeronWilliams,2009
329,0,DJAugustin,2010
330,0,ChaunceyBillups,2010
331,0,SteveBlake,2010
332,0,AaronBrooks,2010
333,0,BobbyBrown,2010
334,0,JoseCalderon,2010
335,0,DarrenCollison,2010
336,0,MikeConley,2010
337,0,BaronDavis,2010
338,0,KeyonDooling,2010
339,0,ChrisDuhon,2010
340,0,JonnyFlynn,2010
341,0,DevinHarris,2010
342,0,BrandonJennings,2010
343,0,JasonKidd,2010
344,0,EricMaynor,2010
345,0,SteveNash,2010
346,0,ChrisPaul,2010
347,0,LukeRidnour,2010
348,0,NateRobinson,2010
349,0,SergioRodriguez,2010
350,0,RajonRondo,2010
351,0,SebastianTelfair,2010
352,0,JasonTerry,2010
353,0,DeronWilliams,2010
354,0,DJAugustin,2011
355,0,ChaunceyBillups,2011
356,0,EarlBoykins,2011
357,0,AaronBrooks,2011
358,0,WillBynum,2011
359,0,JoseCalderon,2011
360,0,MikeConley,2011
361,0,BaronDavis,2011
362,0,MontaEllis,2011
363,0,JordanFarmar,2011
364,0,RaymondFelton,2011
365,0,JonnyFlynn,2011
366,0,DevinHarris,2011
367,0,JasonKidd,2011
368,0,EricMaynor,2011
369,0,PatrickMills,2011
370,0,SteveNash,2011
371,0,JameerNelson,2011
372,0,TonyParker,2011
373,0,ChrisPaul,2011
374,0,LukeRidnour,2011
375,0,RajonRondo,2011
376,0,IshmaelSmith,2011
377,0,SebastianTelfair,2011
378,0,JohnWall,2011
379,0,CJWatson,2011
380,0,RussellWestbrook,2011
381,0,DeronWilliams,2011
382,0,MoWilliams,2011
383,0,DJAugustin,2012
384,0,JoseBarea,2012
385,0,MikeBibby,2012
386,0,SteveBlake,2012
387,0,JoseCalderon,2012
388,0,MikeConley,2012
389,0,BaronDavis,2012
390,0,GoranDragic,2012
391,0,JordanFarmar,2012
392,0,RaymondFelton,2012
393,0,JonnyFlynn,2012
394,0,SundiataGaines,2012
395,0,DevinHarris,2012
396,0,CharlesJenkins,2012
397,0,BrandonJennings,2012
398,0,JeremyLin,2012
399,0,AndreMiller,2012
400,0,SteveNash,2012
401,0,TonyParker,2012
402,0,ChrisPaul,2012
403,0,NateRobinson,2012
404,0,RajonRondo,2012
405,0,DerrickRose,2012
406,0,RickyRubio,2012
407,0,WalkerRussell,2012
408,0,JeffTeague,2012
409,0,JamaalTinsley,2012
410,0,BenoUdrih,2012
411,0,GreivisVasquez,2012
412,0,CJWatson,2012
413,0,DeronWilliams,2012
414,0,DJAugustin,2013
415,0,WillBynum,2013
416,0,JoseCalderon,2013
417,0,MarioChalmers,2013
418,0,DarrenCollison,2013
419,0,MikeConley,2013
420,0,StephenCurry,2013
421,0,GoranDragic,2013
422,0,MontaEllis,2013
423,0,RaymondFelton,2013
424,0,KirkHinrich,2013
425,0,JrueHoliday,2013
426,0,MikeJames,2013
427,0,BrandonJennings,2013
428,0,TyLawson,2013
429,0,JeremyLin,2013
430,0,KendallMarshall,2013
431,0,EricMaynor,2013
432,0,AndreMiller,2013
433,0,SteveNash,2013
434,0,JameerNelson,2013
435,0,JanneroPargo,2013
436,0,JeremyPargo,2013
437,0,TonyParker,2013
438,0,ChrisPaul,2013
439,0,RonniePrice,2013
440,0,PabloPrigioni,2013
441,0,BrianRoberts,2013
442,0,NateRobinson,2013
443,0,RajonRondo,2013
444,0,RickyRubio,2013
445,0,JeffTeague,2013
446,0,SebastianTelfair,2013
447,0,IsaiahThomas,2013
448,0,JamaalTinsley,2013
449,0,BenoUdrih,2013
450,0,GreivisVasquez,2013
451,0,KembaWalker,2013
452,0,EarlWatson,2013
453,0,DeronWilliams,2013
454,0,MoWilliams,2013
455,0,DJAugustin,2014
456,0,JoseBarea,2014
457,0,SteveBlake,2014
458,0,WillBynum,2014
