Feature,Importance,Cluster Average,League Average,%diff,Cluster,level
TRB%,0.1825250157226107,14.755656108597275,10.206843022334892,44.56630788098285,1,B
DBPM,0.17680966411615948,0.7791855203619907,-0.03806431173768421,2147.023799436221,1,A
3PAr,0.16830653429376738,0.04371832579185521,0.2212361793125287,-80.23907033302332,1,F
PPS_03-08 Near Rim,0.15884962957383045,0.7780653694437775,0.7336047608055732,6.060567081023564,1,C
PPS_18-23 Long Jumper,0.14738958640480188,0.6910400782007732,0.7202918715698547,-4.061102800636657,1,C
PPS_13-17 Mid Range,0.13968861275631192,0.7436332731765048,0.748227460644516,-0.6140094703358939,1,C
PPS_09-12 Short Range,0.13297647655199965,0.7079552030861315,0.7146006180076808,-0.9299481072486177,1,C
PPS_28-34 Deep,0.1112069188231524,0.1284805315348302,0.34636556119416434,-62.906089424171405,1,D
BLK%,0.07707853570920392,2.4342194570135725,1.6547045778552234,47.10900601778307,1,B
STL%,0.07075412971642639,1.4072398190045223,1.629748138761293,-13.652926759952647,1,C
FTr,-0.09152120287927061,0.3573642533936651,0.2995672421986379,19.29350177637347,1,C
TOV%,-0.1801844740866592,13.571606334841643,13.615444321241911,-0.3219724995083335,1,C
AST%,0.42048376007403826,10.345582329317274,13.855425312846457,-25.33190359934264,2,D
AST/36,0.39611195046138986,2.2942297119182578,3.0423826471649678,-24.591020328881818,2,D
DWS,0.32401549480030206,1.5676706827309241,1.7009504197687317,-7.835603877032986,2,C
TRB%,0.30801465564300423,9.265963855421683,10.206843022334892,-9.218121262905209,2,C
USG%,0.3051402632130264,18.651004016064253,19.221241881831148,-2.9667066741713066,2,C
PTS/36,0.2935720454543903,13.854138821723067,14.11450299334006,-1.8446570292970754,2,C
FTr,0.2581585256178228,0.2568283132530121,0.2995672421986379,-14.266890008382946,2,C
DBPM,0.23287364711119696,-0.13052208835341372,-0.03806431173768421,-242.89885300669974,2,F
STL%,0.21074401981544627,1.6011044176706848,1.629748138761293,-1.7575550730421001,2,C
TOV%,0.16428467233940544,12.06586345381525,13.615444321241911,-11.381052508210164,2,C
TS%,0.1322033553196224,0.5271716867469878,0.5302987486139712,-0.5896792845837446,2,C
BLK%,0.10121880547907991,1.2261044176706832,1.6547045778552234,-25.901914209972055,2,D
PPS_09-12 Short Range,0.06019170865401367,0.693933248648909,0.7146006180076808,-2.89215665897306,2,C
PPS_03-08 Near Rim,0.05476219131769735,0.72291765701435,0.7336047608055732,-1.4567931346966383,2,C
PPS_00-02 At Rim,0.0501238364718436,1.2388274921615006,1.2164060614255219,1.843252138163692,2,C
PPS_18-23 Long Jumper,0.044941420446183114,0.7530415740568186,0.7202918715698547,4.54672665062662,2,C
PPS_13-17 Mid Range,0.03893284254253789,0.7402133457825075,0.748227460644516,-1.0710800235940476,2,C
PPS_28-34 Deep,0.005543338123570293,0.43611987661278473,0.34636556119416434,25.913175406115574,2,B
PPS_24-27 Three,-0.0316025485556152,0.9630993926497012,0.7742696797922912,24.38810633887488,2,B
3PAr,-0.2311575664819923,0.3134678714859441,0.2212361793125287,41.689244706727905,2,B
AST%,0.39657536018408407,13.636930860033734,13.855425312846457,-1.576959551073028,3,C
AST/36,0.3747787585657916,2.9804261293130203,3.0423826471649678,-2.0364472532632076,3,C
TRB%,0.3375798667218619,6.94072512647554,10.206843022334892,-31.999295851933297,3,D
DWS,0.3038437085334273,1.5500000000000003,1.7009504197687317,-8.874475000232831,3,C
DBPM,0.2805581235048977,-0.6419055649241139,-0.03806431173768421,-1586.3711324868598,3,F
USG%,0.26869366165548525,19.800337268128192,19.221241881831148,3.012788610940034,3,C
FTr,0.26731178339050415,0.24518043844856693,0.2995672421986379,-18.155123821585274,3,C
STL%,0.25575281019572105,1.7457841483979768,1.629748138761293,7.119873732445436,3,C
PTS/36,0.22451522004036054,14.794881439385897,14.11450299334006,4.82042085624179,3,C
BLK%,0.20194655435357606,0.8055649241146717,1.6547045778552234,-51.31669212163419,3,D
TOV%,0.18263749252072534,11.939544688026968,13.615444321241911,-12.308813386283074,3,C
PPS_03-08 Near Rim,0.0831424940306729,0.7029204893450826,0.7336047608055732,-4.182670710423991,3,C
PPS_00-02 At Rim,0.07419267903299423,1.2077104967084218,1.2164060614255219,-0.7148570689387758,3,C
TS%,0.030651467777482396,0.5308136593591906,0.5302987486139712,0.0970982387880747,3,C
PPS_09-12 Short Range,0.012613557685275775,0.730560131725574,0.7146006180076808,2.2333473153701684,3,C
PPS_28-34 Deep,-0.0187308946689083,0.4994203832129464,0.34636556119416434,44.188810657472715,3,B
PPS_13-17 Mid Range,-0.029096613700562542,0.7640276383133421,0.748227460644516,2.1116810729207947,3,C
PPS_18-23 Long Jumper,-0.04671577586787247,0.7798807871032265,0.7202918715698547,8.272884629879202,3,C
PPS_24-27 Three,-0.0797365416897294,1.0376166541016838,0.7742696797922912,34.01230620060431,3,B
3PAr,-0.24579246599857055,0.3548777403035409,0.2212361793125287,60.406738810212325,3,B
PTS/36,0.44466993345685446,11.87463660028165,14.11450299334006,-15.869254440735837,4,C
USG%,0.4173745711846082,15.588129496402864,19.221241881831148,-18.90154864999893,4,C
AST%,0.3192017753223617,5.4392086330935285,13.855425312846457,-60.74311318288865,4,D
PPS_00-02 At Rim,0.27799331853883785,1.2987831606767775,1.2164060614255219,6.772171058956809,4,C
AST/36,0.27643307336817846,1.2299770228185698,3.0423826471649678,-59.57191565088898,4,D
DWS,0.25119969628399325,2.684172661870504,1.7009504197687317,57.80428580836914,4,B
PPS_03-08 Near Rim,0.23090804126354075,0.7531099119365382,0.7336047608055732,2.6588092353089836,4,C
TS%,0.19746315985694338,0.5632841726618706,0.5302987486139712,6.220158756571194,4,C
TRB%,0.17656072402593015,18.591726618705028,10.206843022334892,82.14962822512412,4,A
3PAr,0.16055165936829874,0.00615827338129496,0.2212361793125287,-97.2164257218547,4,F
PPS_09-12 Short Range,0.15472312161698837,0.6424689930142147,0.7146006180076808,-10.093977415604591,4,C
PPS_18-23 Long Jumper,0.1308992537230029,0.4331858413994395,0.7202918715698547,-39.859679319256536,4,D
PPS_28-34 Deep,0.1014838648810007,0.01960431654676259,0.34636556119416434,-94.33999255608069,4,F
STL%,0.1011883170768598,1.1600719424460428,1.629748138761293,-28.81894356217719,4,D
PPS_24-27 Three,0.0920625356330224,0.16009400126185352,0.7742696797922912,-79.32322478328211,4,F
PPS_13-17 Mid Range,0.07185325416514968,0.6331650827361728,0.748227460644516,-15.377994521776781,4,C
DBPM,0.05962832880925427,2.6999999999999993,-0.03806431173768421,7193.258426966277,4,A
BLK%,0.003049530331036443,5.530935251798562,1.6547045778552234,234.25514897454312,4,A
FTr,-0.058327094744023755,0.4684496402877694,0.2995672421986379,56.375455757324936,4,B
TOV%,-0.2791103417286746,16.337050359712222,13.615444321241911,19.98910923695852,4,C
AST%,0.3862212263699898,9.586605981794529,13.855425312846457,-30.80973145655781,5,D
