playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_24-27 Three,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_24-27 Three,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_24-27 Three
Jason Kapono,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21052631578947367,1.0,0.8256880733944955,1.1092436974789917,1.457142857142857,1.5,0.0,0.0,1.0769230769230769,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,90.0,264.0,204.0,3.0,0.0,0.0,28.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Kidd,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.8695652173913043,0.7272727272727273,0.7413793103448276,0.7948717948717948,1.0257352941176472,0.0,0.6000000000000001,0.0,0.9702970297029703,0.0,0.0,0.8571428571428571,2.0,0.5,0.0,0.0,0.0,0.0,0.7692307692307693,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.0,86.0,186.0,279.0,0.0,3.0,0.0,98.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0
Jason Maxiell,2.0,0.0,0.0,0.0,1.6326530612244898,0.0,0.0,0.7619047619047619,0.6153846153846154,0.7843137254901961,0.6,0.0,0.0,0.0,0.0,0.7586206896551724,0.0,0.0,0.875,1.2,0.8571428571428571,0.0,0.0,0.0,0.0,1.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,80.0,0.0,0.0,16.0,8.0,40.0,6.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,14.0,12.0,6.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Richardson,1.5555555555555556,1.0,0.0,0.0,1.8888888888888888,0.0,0.0,0.6666666666666666,0.7777777777777778,0.6944444444444444,0.7515151515151515,1.0334928229665072,1.0,0.0,0.0,0.9066666666666666,0.5,2.0,0.9411764705882353,0.6666666666666666,0.7619047619047619,0.8,0.0,0.0,0.0,0.9696969696969697,0.0,0.0,1.5,0.0,0.0,0.0,70.0,8.0,0.0,0.0,34.0,0.0,0.0,16.0,14.0,50.0,124.0,216.0,3.0,0.0,0.0,68.0,2.0,2.0,16.0,4.0,16.0,4.0,0.0,0.0,0.0,32.0,0.0,0.0,6.0,0.0,0.0,0.0
Jason Terry,1.540983606557377,0.0,0.0,0.0,2.0,0.0,0.0,0.7297297297297297,0.9811320754716981,1.112033195020747,0.9097222222222222,1.3037974683544304,0.0,0.0,0.0,0.8571428571428571,1.0,0.0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,52.0,268.0,262.0,309.0,0.0,0.0,0.0,72.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Jeff Foster,2.0,0.0,0.0,0.0,1.8571428571428572,0.0,0.0,0.36363636363636365,1.0,0.2857142857142857,0.8,0.0,0.0,0.0,0.0,0.9487179487179487,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.88,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,26.0,0.0,0.0,8.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,148.0,2.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0
Jermaine ONeal,1.35,2.0,0.0,0.0,1.72,2.0,0.0,0.5925925925925926,0.5732484076433121,0.7304964539007093,0.7272727272727273,0.0,0.0,0.0,0.0,0.8723404255319149,1.1111111111111112,2.0,1.4594594594594594,1.3478260869565217,1.1428571428571428,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,1.2,0.0,0.0,0.0,54.0,8.0,0.0,0.0,86.0,6.0,0.0,96.0,90.0,206.0,64.0,0.0,0.0,0.0,0.0,164.0,10.0,12.0,108.0,62.0,8.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,6.0,0.0,0.0,0.0
Jerry Stackhouse,1.4193548387096775,0.0,0.0,0.0,2.0,0.0,0.0,0.6470588235294118,0.52,0.725925925925926,0.8854166666666666,1.1785714285714286,1.0,0.0,0.0,0.8275862068965517,0.0,0.0,1.0,0.7272727272727273,1.2,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,22.0,0.0,0.0,22.0,26.0,98.0,170.0,99.0,3.0,0.0,0.0,48.0,0.0,0.0,6.0,8.0,30.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Johnson,1.3714285714285714,1.3333333333333333,0.0,0.0,2.0,0.0,0.0,0.9256198347107438,1.11864406779661,0.9056603773584906,0.8368794326241135,1.205240174672489,0.0,0.0,0.0,1.0963855421686748,1.0,2.0,1.7777777777777777,2.0,0.4,2.0,0.0,0.0,0.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,96.0,4.0,0.0,0.0,10.0,0.0,0.0,112.0,66.0,144.0,236.0,276.0,0.0,0.0,0.0,182.0,2.0,2.0,16.0,4.0,2.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Smith,2.0,0.0,0.0,0.0,1.6923076923076923,0.0,2.0,0.5853658536585366,0.5,0.8118811881188119,0.74,0.0,0.0,0.0,0.0,1.0408163265306123,0.0,2.0,1.0285714285714285,1.5555555555555556,0.5,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,44.0,0.0,2.0,24.0,20.0,82.0,74.0,0.0,0.0,0.0,0.0,102.0,0.0,4.0,36.0,14.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0
