playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_24-27 Three,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_24-27 Three,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_35-46 Near Half,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_24-27 Three,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_24-27 Three,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_35-46 Near Half,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range
Tracy McGrady,1.3783783783783783,2.0,0.0,1.8235294117647058,0.0,0.0,0.0,0.5365853658536586,0.6451612903225806,0.7523809523809524,0.8113207547169812,1.032051282051282,0.46153846153846156,0.0,0.0,0.725925925925926,0.4,0.0,0.0,0.0,1.3333333333333333,0.8571428571428571,1.2195121951219512,1.5,3.0,0.0,0.0,1.5555555555555556,0.0,0.0,0.0,1.4545454545454546,0.0,0.0,102.0,2.0,0.0,62.0,0.0,0.0,0.0,22.0,20.0,158.0,344.0,483.0,6.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0,8.0,6.0,50.0,18.0,3.0,0.0,0.0,70.0,0.0,0.0,0.0,16.0,0.0,0.0
Travis Outlaw,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Troy Murphy,1.1111111111111112,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.4444444444444444,0.6666666666666666,0.9387755102040817,0.8292682926829268,0.6666666666666666,0.0,0.0,0.0,1.2195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,4.0,46.0,68.0,6.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyson Chandler,2.0,0.0,0.0,1.7647058823529411,0.0,0.0,2.0,0.5,0.0,0.6666666666666666,1.2,0.0,0.0,0.0,0.0,0.717948717948718,0.0,0.0,0.0,0.0,1.25,0.0,2.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,30.0,0.0,0.0,2.0,14.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Udonis Haslem,1.0769230769230769,0.0,0.0,1.7857142857142858,0.0,0.0,0.0,0.6818181818181818,0.43478260869565216,0.6890756302521008,0.9142857142857143,0.0,0.0,0.0,0.0,1.0769230769230769,2.0,0.0,0.0,0.0,0.7619047619047619,0.4,0.0,0.0,0.0,0.0,0.0,1.1818181818181819,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,50.0,0.0,0.0,0.0,30.0,10.0,82.0,32.0,0.0,0.0,0.0,0.0,140.0,8.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
Vince Carter,1.3097345132743363,2.0,0.0,1.9285714285714286,0.0,0.0,2.0,0.7746478873239436,0.5172413793103449,0.7945205479452054,0.7684210526315789,1.0689655172413794,0.5,3.0,0.0,0.7931034482758621,0.0,0.0,0.0,2.0,1.1538461538461537,0.7272727272727273,1.1111111111111112,2.0,0.0,0.0,0.0,1.1538461538461537,0.0,0.0,0.0,2.0,1.0,0.0,148.0,4.0,0.0,54.0,0.0,0.0,4.0,110.0,60.0,232.0,292.0,186.0,3.0,3.0,0.0,92.0,0.0,0.0,0.0,2.0,30.0,8.0,10.0,2.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,8.0,2.0,0.0
Vladimir Radmanovic,1.6271186440677967,1.0,0.0,1.68,0.0,0.0,1.0,0.5,0.6153846153846154,0.7058823529411765,0.7641509433962265,1.1470588235294117,1.5,0.0,0.0,0.8857142857142857,0.0,0.0,0.0,0.0,1.4,1.0,0.5,0.0,0.0,0.0,0.0,1.2857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,96.0,2.0,0.0,42.0,0.0,0.0,2.0,26.0,16.0,36.0,162.0,312.0,3.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Willie Green,1.6875,2.0,0.0,1.0,0.0,0.0,0.0,0.42424242424242425,0.6153846153846154,0.8,0.7936507936507936,1.1400000000000001,0.0,0.0,0.0,0.5245901639344263,2.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,54.0,6.0,0.0,8.0,0.0,0.0,0.0,14.0,16.0,52.0,50.0,57.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0
Yao Ming,1.7,0.0,0.0,1.8241758241758241,0.0,0.0,2.0,0.672,0.6458333333333334,0.7857142857142857,0.8571428571428571,0.0,0.0,0.0,0.0,1.2989690721649485,1.0,0.0,0.0,2.0,0.9349112426035503,1.0333333333333334,1.105263157894737,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,34.0,0.0,0.0,166.0,0.0,0.0,2.0,84.0,62.0,66.0,48.0,0.0,0.0,0.0,0.0,252.0,2.0,0.0,0.0,2.0,158.0,124.0,42.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,4.0,2.0,0.0
Zach Randolph,1.4339622641509433,2.0,0.0,1.826086956521739,0.0,0.0,0.8571428571428571,0.8257575757575758,0.8865979381443299,0.7844827586206896,0.7571428571428571,1.5,0.0,0.0,0.0,1.103448275862069,0.3333333333333333,0.0,0.0,1.3333333333333333,1.0679611650485437,1.1724137931034482,1.0909090909090908,0.0,0.0,0.0,0.0,1.255813953488372,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,76.0,2.0,0.0,42.0,0.0,0.0,6.0,218.0,86.0,182.0,106.0,3.0,0.0,0.0,0.0,384.0,2.0,0.0,0.0,4.0,110.0,34.0,12.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,4.0,2.0,0.0
