playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_18-23 Long Jumper,PPS_Dunk_24-27 Three,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_18-23 Long Jumper,Points_Dunk_24-27 Three,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_24-27 Three
Joe Smith,1.28,0.0,0.0,0.0,1.6428571428571428,0.0,0.0,0.0,0.0,0.4473684210526316,0.6938775510204082,0.8489208633093526,0.9421487603305785,0.0,0.0,3.0,0.0,1.1612903225806452,0.5,0.0,0.0,0.0,0.0,1.0793650793650793,0.8,0.0,0.0,0.8421052631578947,0.0,0.0,32.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,34.0,34.0,118.0,114.0,0.0,0.0,3.0,0.0,108.0,2.0,0.0,0.0,0.0,0.0,68.0,4.0,0.0,0.0,16.0,0.0,0.0
Juwan Howard,1.8048780487804879,0.8,0.0,0.0,1.7894736842105263,0.0,0.0,0.0,0.0,0.6602870813397129,0.8755020080321285,0.7702702702702703,0.6666666666666666,0.0,0.0,0.0,0.0,0.9931972789115646,1.2727272727272727,0.0,0.0,0.0,1.6666666666666667,1.5757575757575757,1.5384615384615385,0.0,0.0,1.3333333333333333,0.0,0.0,74.0,4.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,138.0,218.0,228.0,20.0,0.0,0.0,0.0,0.0,146.0,14.0,0.0,0.0,0.0,10.0,104.0,20.0,0.0,0.0,8.0,0.0,0.0
Kevin Garnett,1.6,2.0,0.0,0.0,1.9058823529411764,0.0,0.0,0.0,1.3333333333333333,0.9647058823529412,0.9157894736842105,0.75,0.9645390070921985,1.1363636363636362,2.0,0.0,0.0,1.1297709923664123,1.0,2.0,0.0,0.0,2.0,1.0476190476190477,0.5,0.0,0.0,0.9787234042553191,0.0,0.0,88.0,4.0,0.0,0.0,162.0,0.0,0.0,0.0,4.0,246.0,174.0,258.0,272.0,75.0,6.0,0.0,0.0,148.0,6.0,2.0,0.0,0.0,6.0,44.0,4.0,0.0,0.0,46.0,0.0,0.0
Kobe Bryant,1.3112582781456954,1.0,0.0,0.0,1.9428571428571428,0.0,0.0,0.0,2.0,0.7633587786259542,0.7586206896551724,0.7666666666666667,0.864321608040201,0.9831932773109244,1.3333333333333333,0.6000000000000001,0.0,1.1388888888888888,1.2,0.0,0.0,0.0,0.0,1.2,0.6666666666666666,0.0,0.0,0.8571428571428571,0.0,0.0,198.0,4.0,0.0,0.0,136.0,0.0,0.0,0.0,2.0,100.0,110.0,184.0,172.0,117.0,12.0,3.0,0.0,82.0,6.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,18.0,0.0,0.0
Kurt Thomas,1.1578947368421053,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.9292929292929293,0.9504950495049505,0.8333333333333334,0.7272727272727273,1.5,0.0,0.0,0.0,1.3035714285714286,0.0,0.0,0.0,0.0,0.0,1.375,2.0,0.0,0.0,0.8148148148148148,0.0,0.0,22.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0,92.0,96.0,90.0,24.0,3.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,22.0,0.0,0.0
Lamar Odom,1.3962264150943395,0.75,0.0,0.0,1.9166666666666667,0.0,0.0,0.0,1.3333333333333333,0.6262626262626263,0.5054945054945055,0.625,0.6578947368421053,1.015748031496063,2.0999999999999996,0.375,0.0,0.8955223880597015,1.5,0.0,0.0,0.0,2.0,1.3714285714285714,1.6,0.0,0.0,1.15,0.0,0.0,222.0,6.0,0.0,0.0,46.0,0.0,0.0,0.0,4.0,124.0,46.0,50.0,50.0,129.0,21.0,3.0,0.0,120.0,6.0,0.0,0.0,0.0,2.0,48.0,8.0,0.0,0.0,46.0,0.0,0.0
Marcus Camby,1.087719298245614,0.0,0.0,0.0,1.9661016949152543,0.0,0.0,0.0,1.3333333333333333,0.6086956521739131,0.49056603773584906,0.7894736842105263,1.0,0.0,0.0,0.0,1.5,1.0260869565217392,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.6129032258064516,0.0,0.0,62.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,4.0,42.0,26.0,30.0,2.0,0.0,0.0,0.0,3.0,118.0,2.0,0.0,0.0,0.0,2.0,6.0,2.0,0.0,0.0,38.0,0.0,0.0
Metta World Peace,1.5402298850574712,1.0,0.0,0.0,1.7391304347826086,0.0,0.0,0.0,1.0,0.509090909090909,0.4166666666666667,0.6736842105263158,0.6363636363636364,1.0465116279069768,0.0,0.0,0.0,0.8604651162790697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,2.0,0.0,0.0,40.0,0.0,0.0,0.0,4.0,28.0,10.0,64.0,98.0,135.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Bibby,1.4545454545454546,1.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.5853658536585366,1.1162790697674418,0.8584070796460177,0.916083916083916,1.0988372093023255,0.375,0.0,0.0,0.7789473684210526,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,128.0,14.0,2.0,0.0,4.0,0.0,0.0,0.0,2.0,48.0,48.0,194.0,262.0,189.0,3.0,0.0,0.0,74.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0
Mikki Moore,1.0,0.0,0.0,0.0,1.8571428571428572,0.0,0.0,0.0,0.0,0.9333333333333333,1.0,1.0285714285714285,0.2222222222222222,0.0,0.0,0.0,0.0,1.3636363636363635,0.0,2.0,0.0,0.0,2.0,2.0,1.3333333333333333,0.0,0.0,0.4,2.0,0.0,2.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,14.0,6.0,36.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,4.0,14.0,8.0,0.0,0.0,2.0,2.0,0.0
