playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_18-23 Long Jumper,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_18-23 Long Jumper,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range
Anthony Carter,1.9166666666666667,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.5,0.5,0.7857142857142857,0.42857142857142855,1.5,0.0,0.0,0.7428571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,18.0,44.0,3.0,3.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Daniels,1.7777777777777777,1.0,1.5,2.0,0.0,0.0,0.7540983606557377,0.9,0.8305084745762712,0.9108910891089109,0.8283582089552239,0.0,0.0,0.0,0.5161290322580645,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,144.0,2.0,6.0,2.0,0.0,0.0,46.0,36.0,98.0,92.0,111.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0
Antonio McDyess,1.7777777777777777,0.0,2.0,2.0,0.0,0.0,0.6382978723404256,0.8955223880597015,0.8524590163934426,0.6666666666666666,0.0,0.0,0.0,0.0,1.1785714285714286,1.0,0.0,0.0,0.0,0.0,0.0,1.5,1.2380952380952381,1.446808510638298,0.6666666666666666,0.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,52.0,2.0,0.0,0.0,30.0,60.0,156.0,22.0,0.0,0.0,0.0,0.0,132.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,68.0,2.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
Baron Davis,1.6097560975609757,0.8,1.75,0.0,0.0,0.0,0.6666666666666666,0.5,0.6764705882352942,0.6846846846846847,1.0068493150684932,0.9230769230769231,0.0,0.0,0.5714285714285714,0.5,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,1.5,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,132.0,4.0,14.0,0.0,0.0,0.0,22.0,8.0,46.0,76.0,294.0,12.0,0.0,0.0,52.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Gordon,1.65,1.0,1.0,0.0,0.0,0.0,0.8131868131868132,0.7012987012987013,0.8375,0.8409893992932862,1.217573221757322,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,2.0,1.2,1.5,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.6,0.0,66.0,2.0,4.0,0.0,0.0,0.0,74.0,54.0,134.0,238.0,291.0,0.0,0.0,0.0,64.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,4.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,8.0,0.0
Ben Wallace,1.6756756756756757,0.0,1.7362637362637363,0.0,0.0,0.0,0.46153846153846156,0.47619047619047616,0.475,0.5263157894736842,0.6000000000000001,0.0,0.0,0.0,0.7184466019417476,0.0,0.0,0.0,0.0,0.0,2.0,0.4444444444444444,2.0,0.4,2.0,0.0,0.0,0.0,1.1578947368421053,0.0,0.0,0.0,2.0,0.0,0.0,62.0,0.0,158.0,0.0,0.0,0.0,24.0,10.0,38.0,10.0,3.0,0.0,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,4.0,2.0,2.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,4.0,0.0,0.0
Beno Udrih,2.0,0.0,0.0,0.0,0.0,0.0,0.5217391304347826,0.9032258064516129,0.7777777777777778,0.9166666666666666,1.0273972602739725,0.0,0.0,0.0,1.2258064516129032,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,12.0,28.0,56.0,88.0,75.0,0.0,0.0,0.0,76.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Bobby Simmons,1.803921568627451,2.0,1.8461538461538463,0.0,0.0,0.0,0.42857142857142855,0.8333333333333334,0.8303571428571429,0.90020366598778,1.4,0.0,0.0,0.0,0.8952380952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.75,2.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,2.0,0.0,0.0,92.0,2.0,24.0,0.0,0.0,0.0,12.0,20.0,186.0,442.0,63.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0
Boris Diaw,1.6666666666666667,0.0,1.8333333333333333,0.0,0.0,0.0,0.5714285714285714,0.6153846153846154,0.723404255319149,0.7671232876712328,0.3103448275862069,0.0,0.0,0.0,1.0344827586206897,2.0,0.0,0.0,0.0,0.0,0.0,1.1111111111111112,1.3333333333333333,2.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,22.0,0.0,0.0,0.0,16.0,8.0,34.0,56.0,9.0,0.0,0.0,0.0,60.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Brad Miller,1.6756756756756757,0.0,1.8666666666666667,0.0,0.0,2.0,0.9454545454545454,0.6,0.94,0.9798657718120806,0.75,0.0,0.0,0.0,1.05,0.0,0.0,0.0,0.0,0.0,0.0,1.2941176470588236,1.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,2.0,2.0,0.0,62.0,0.0,56.0,0.0,0.0,2.0,52.0,12.0,94.0,146.0,12.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0
