playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_18-23 Long Jumper,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_18-23 Long Jumper,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range
Emeka Okafor,1.6666666666666667,0.0,1.9012345679012346,0.0,0.0,0.0,0.6115702479338843,0.5137614678899083,0.6290322580645161,0.78125,0.0,0.0,0.0,0.0,1.0603448275862069,1.0,0.0,0.0,0.0,0.0,0.0,0.9428571428571428,0.75,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,154.0,0.0,0.0,0.0,74.0,56.0,156.0,50.0,0.0,0.0,0.0,0.0,246.0,4.0,0.0,0.0,0.0,0.0,0.0,66.0,18.0,6.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,2.0,0.0
Erick Dampier,2.0,0.0,1.7468354430379747,0.0,0.0,0.0,0.6153846153846154,1.0,0.8695652173913043,0.0,0.0,0.0,0.0,0.0,0.8928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.975609756097561,2.0,0.0,0.0,0.0,0.0,0.0,1.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,138.0,0.0,0.0,0.0,24.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
Etan Thomas,1.5,2.0,1.75,2.0,0.0,0.0,0.2545454545454545,0.5833333333333334,1.0769230769230769,0.0,0.0,0.0,0.0,0.0,1.0285714285714285,0.0,0.0,0.0,0.0,0.0,2.0,1.3888888888888888,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,70.0,2.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,8.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco Elson,0.0,0.0,1.8709677419354838,0.0,0.0,0.0,0.3333333333333333,0.8,0.5909090909090909,0.7272727272727273,0.0,0.0,0.0,0.0,1.1282051282051282,0.0,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,1.25,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,2.0,4.0,26.0,32.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,10.0,4.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerald Wallace,1.6470588235294117,2.0,1.8113207547169812,0.0,0.0,2.0,0.0,0.4,0.7341772151898734,0.659217877094972,0.7894736842105263,0.0,0.0,0.0,0.8045977011494253,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4482758620689655,0.0,0.0,0.0,2.0,2.0,0.0,84.0,2.0,96.0,0.0,0.0,2.0,0.0,2.0,58.0,118.0,30.0,0.0,0.0,0.0,140.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,2.0,2.0,0.0
Gilbert Arenas,1.7664233576642336,2.0,1.8666666666666667,2.0,0.0,2.0,0.36879432624113473,0.7428571428571429,0.8041237113402062,0.796875,1.1394849785407726,0.6000000000000001,0.0,1.0,0.9015544041450777,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.3333333333333333,1.2,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,2.0,0.0,0.0,242.0,10.0,28.0,2.0,0.0,2.0,52.0,52.0,156.0,204.0,531.0,9.0,0.0,3.0,174.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0
Grant Hill,1.619047619047619,0.0,1.875,0.0,0.0,0.0,0.7936507936507936,0.8869565217391304,0.9405099150141643,0.8390804597701149,1.125,0.0,0.0,0.0,1.155844155844156,2.0,0.0,0.0,0.0,0.0,0.0,0.8,1.2,1.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,2.0,0.0,0.0,136.0,0.0,30.0,0.0,0.0,0.0,50.0,102.0,332.0,146.0,9.0,0.0,0.0,0.0,178.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,10.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,0.0,0.0
Hedo Turkoglu,1.5384615384615385,1.0,2.0,0.0,0.0,0.0,0.6818181818181818,0.6666666666666666,0.6236559139784946,0.6395348837209303,1.2083333333333335,2.0,0.0,0.0,1.0123456790123457,2.0,0.0,0.0,0.0,0.0,2.0,0.75,1.3333333333333333,1.1111111111111112,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,1.5,0.0,0.0,80.0,2.0,38.0,0.0,0.0,0.0,30.0,28.0,58.0,110.0,261.0,6.0,0.0,0.0,82.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,8.0,10.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0
JR Smith,1.8235294117647058,0.0,1.7777777777777777,0.0,0.0,0.0,0.7567567567567568,0.5517241379310345,0.7073170731707317,0.7311827956989247,0.8873239436619718,0.0,0.0,0.0,0.6352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,2.0,0.0,2.0,0.0,0.0,0.0,1.2592592592592593,0.0,0.0,0.0,2.0,0.0,0.0,62.0,0.0,64.0,0.0,0.0,0.0,28.0,16.0,58.0,136.0,189.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0
Jamaal Magloire,2.0,0.0,1.826086956521739,0.0,0.0,0.0,0.5,0.21052631578947367,0.35294117647058826,0.2857142857142857,0.0,0.0,0.0,0.0,0.9180327868852459,0.0,0.0,0.0,0.0,0.0,1.0,0.8135593220338984,1.0,1.5,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,42.0,0.0,0.0,0.0,8.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,2.0,48.0,4.0,6.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaal Tinsley,1.8333333333333333,1.0,0.0,0.0,0.0,2.0,0.8648648648648649,0.8936170212765957,0.8,0.6440677966101694,1.1338582677165354,0.0,0.0,0.0,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.0,0.0,0.0,44.0,2.0,0.0,0.0,0.0,4.0,64.0,42.0,48.0,38.0,144.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0
Jamal Crawford,1.7666666666666666,2.0,1.75,0.0,0.0,0.0,0.8387096774193549,0.72,0.7559055118110236,0.8063492063492064,1.0948275862068966,0.47368421052631576,0.0,0.0,0.379746835443038,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.0,2.0,0.0,0.0,106.0,6.0,14.0,0.0,0.0,0.0,52.0,36.0,96.0,254.0,381.0,9.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0
Jameer Nelson,1.5625,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.9523809523809523,0.8604651162790697,0.8599033816425121,0.9587628865979381,0.0,0.0,0.0,0.9649122807017544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,74.0,178.0,93.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,0.0
James Jones,2.0,0.0,2.0,0.0,0.0,0.0,0.7272727272727273,0.4,0.8260869565217391,0.8421052631578947,1.0862068965517242,1.5,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,8.0,4.0,38.0,80.0,126.0,6.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
James Posey,1.25,0.0,1.6666666666666667,2.0,0.0,0.0,0.23529411764705882,0.5714285714285714,0.6666666666666666,0.7415730337078652,0.8737864077669902,0.0,0.0,0.0,0.8,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,2.0,0.0,0.0,20.0,0.0,20.0,2.0,0.0,0.0,4.0,4.0,12.0,66.0,90.0,0.0,0.0,0.0,52.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Jannero Pargo,2.0,2.0,0.0,0.0,0.0,0.0,0.8,0.25,0.7391304347826086,0.7733333333333333,1.1785714285714286,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,34.0,58.0,66.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Jeffries,1.7037037037037037,2.0,1.878787878787879,2.0,0.0,0.0,0.23529411764705882,0.25,0.5263157894736842,0.4,1.024390243902439,0.0,0.0,0.0,0.9253731343283582,1.2,0.0,0.0,0.0,0.0,2.0,1.5,2.0,1.0,0.0,0.0,0.0,0.0,1.619047619047619,2.0,0.0,0.0,2.0,2.0,0.0,46.0,4.0,62.0,2.0,0.0,0.0,16.0,4.0,10.0,12.0,42.0,0.0,0.0,0.0,124.0,6.0,0.0,0.0,0.0,0.0,4.0,36.0,6.0,2.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,4.0,2.0,0.0
Jason Collins,0.9230769230769231,0.0,2.0,0.0,0.0,0.0,0.46153846153846156,0.2857142857142857,0.8266666666666667,0.7384615384615385,2.0,0.0,0.0,0.0,0.7964601769911505,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0666666666666667,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,34.0,0.0,0.0,0.0,12.0,6.0,124.0,48.0,6.0,0.0,0.0,0.0,90.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Kapono,1.8181818181818181,0.0,0.0,0.0,0.0,2.0,0.7333333333333333,0.358974358974359,0.7951807228915663,0.8333333333333334,1.2100840336134455,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,2.0,22.0,14.0,132.0,200.0,144.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Kidd,1.1290322580645162,1.0,0.0,0.0,0.0,1.0,0.625,0.35714285714285715,0.7192982456140351,0.7857142857142857,1.101123595505618,1.2857142857142856,0.0,0.0,0.9662921348314607,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,1.2,1.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2.0,0.0,0.0,0.0,2.0,10.0,10.0,82.0,176.0,294.0,9.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,12.0,14.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Jason Richardson,1.6774193548387097,1.0,1.87012987012987,1.0,0.0,0.0,0.44660194174757284,0.48,0.7210884353741497,0.7734375,0.9726962457337884,0.0,0.0,0.0,1.0120481927710843,0.18181818181818182,0.0,0.0,0.0,0.0,2.0,1.0588235294117647,0.8571428571428571,0.9655172413793104,0.3333333333333333,1.5,0.0,0.0,1.4583333333333333,0.0,0.0,0.0,2.0,1.3333333333333333,0.0,156.0,20.0,144.0,2.0,0.0,0.0,46.0,24.0,106.0,198.0,285.0,0.0,0.0,0.0,168.0,2.0,0.0,0.0,0.0,0.0,2.0,36.0,12.0,28.0,2.0,3.0,0.0,0.0,70.0,0.0,0.0,0.0,4.0,8.0,0.0
Jason Terry,1.7894736842105263,2.0,2.0,0.0,0.0,0.0,1.0,0.8695652173913043,1.0298507462686568,1.0277777777777777,1.2471910112359552,0.0,0.0,0.0,0.7073170731707317,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,6.0,8.0,0.0,0.0,0.0,78.0,40.0,138.0,148.0,222.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Foster,1.1428571428571428,0.0,1.6666666666666667,0.0,0.0,0.0,0.5161290322580645,0.0,0.3684210526315789,0.625,0.0,0.0,0.0,0.0,1.2345679012345678,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,30.0,0.0,0.0,0.0,16.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,200.0,4.0,0.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0
Jermaine ONeal,1.7142857142857142,0.0,1.9130434782608696,2.0,0.0,2.0,0.7027027027027027,0.6101694915254238,0.6595744680851063,0.7843137254901961,0.5,0.0,0.0,0.0,0.7737226277372263,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.6071428571428572,1.7142857142857142,0.9230769230769231,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,24.0,0.0,88.0,2.0,0.0,2.0,104.0,72.0,124.0,40.0,3.0,0.0,0.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,8.0,90.0,72.0,24.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0
Jerry Stackhouse,1.6363636363636365,0.0,1.9166666666666667,0.0,0.0,0.0,0.8,0.5306122448979592,0.7207207207207207,0.7439024390243902,0.65625,0.0,0.0,0.0,0.6842105263157895,0.0,0.0,0.0,0.0,0.0,0.0,1.2727272727272727,1.4285714285714286,1.28,2.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,2.0,0.0,0.0,54.0,0.0,46.0,0.0,0.0,0.0,28.0,26.0,80.0,122.0,42.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,20.0,32.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0
Joe Johnson,1.9393939393939394,2.0,1.8461538461538463,2.0,0.0,0.0,1.0095238095238095,0.9148936170212766,0.77,0.8797653958944281,1.4032258064516128,0.0,1.0,0.0,0.8707482993197279,0.0,0.0,0.0,0.0,0.0,2.0,1.1111111111111112,1.0,0.3333333333333333,2.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,1.0,0.0,0.0,64.0,4.0,24.0,2.0,0.0,0.0,106.0,86.0,154.0,300.0,261.0,0.0,6.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,8.0,2.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0
Joe Smith,1.6666666666666667,0.0,1.75,0.0,0.0,0.0,0.6046511627906976,0.9787234042553191,0.9028571428571428,0.8846153846153846,0.0,0.0,0.0,0.0,1.1503267973856208,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,1.037037037037037,1.0,0.0,2.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,70.0,0.0,0.0,0.0,26.0,46.0,158.0,92.0,0.0,0.0,0.0,0.0,176.0,4.0,0.0,0.0,0.0,0.0,2.0,28.0,4.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,2.0,0.0
Joel Przybilla,0.8888888888888888,0.0,1.7821782178217822,0.0,2.0,0.0,0.48,0.36363636363636365,0.64,0.3333333333333333,0.0,0.0,0.0,0.0,1.045045045045045,0.0,0.0,0.0,0.0,0.0,2.0,1.1578947368421053,1.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,180.0,0.0,2.0,0.0,12.0,4.0,16.0,2.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0
John Salmons,1.9,0.0,2.0,0.0,0.0,0.0,0.8,1.1428571428571428,0.7142857142857143,0.5909090909090909,1.0526315789473684,0.0,0.0,0.0,0.6060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,4.0,0.0,0.0,0.0,12.0,8.0,20.0,26.0,60.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Childress,1.5714285714285714,0.0,1.9142857142857144,0.0,0.0,0.0,0.45,0.3333333333333333,0.5142857142857142,0.6966292134831461,0.5454545454545454,0.0,0.0,0.0,0.8389830508474576,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375,0.0,0.0,0.0,2.0,0.0,0.0,66.0,0.0,134.0,0.0,0.0,0.0,18.0,4.0,36.0,62.0,12.0,0.0,0.0,0.0,198.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,4.0,0.0,0.0
Josh Howard,1.7464788732394365,1.0,1.875,0.0,0.0,0.0,0.9230769230769231,0.7368421052631579,0.6238532110091743,0.6461538461538462,0.949367088607595,0.0,0.0,0.0,0.8813559322033898,0.0,0.0,0.0,0.0,0.0,0.0,1.4545454545454546,1.6,1.3333333333333333,0.0,0.0,0.0,0.0,1.52,0.0,0.0,0.0,0.0,2.0,0.0,124.0,2.0,90.0,0.0,0.0,0.0,84.0,28.0,68.0,84.0,75.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,8.0,4.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,2.0,0.0
Josh Smith,1.7857142857142858,0.0,1.9012345679012346,0.0,0.0,0.0,0.3492063492063492,0.45454545454545453,0.5360824742268041,0.7526881720430108,0.25,0.0,0.0,0.0,0.706766917293233,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,1.4482758620689655,0.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,154.0,0.0,0.0,0.0,22.0,10.0,52.0,70.0,3.0,0.0,0.0,0.0,94.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,2.0,0.0
Juwan Howard,1.0,0.0,1.7142857142857142,0.0,0.0,2.0,1.0,0.5909090909090909,0.8589743589743589,0.8163265306122449,0.0,0.0,0.0,0.0,1.0847457627118644,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.7692307692307693,0.0,2.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,12.0,0.0,0.0,2.0,56.0,26.0,134.0,80.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,2.0,66.0,20.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
Keith Bogans,1.4545454545454546,2.0,2.0,0.0,0.0,0.0,0.6060606060606061,0.6666666666666666,0.6818181818181818,0.8114285714285714,0.9090909090909092,0.75,0.0,0.0,0.7922077922077922,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0,2.0,0.0,0.0,48.0,2.0,4.0,0.0,0.0,0.0,40.0,26.0,60.0,142.0,90.0,3.0,0.0,0.0,122.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0
Kendrick Perkins,2.0,0.0,1.8888888888888888,0.0,0.0,0.0,0.5,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.8095238095238095,1.0,0.0,0.0,0.0,0.0,2.0,1.2307692307692308,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,34.0,0.0,0.0,0.0,6.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,34.0,2.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenyon Martin,1.15,0.0,1.8018018018018018,0.0,0.0,0.0,0.7058823529411765,0.6923076923076923,0.7552447552447552,0.6981132075471698,0.0,0.0,0.0,0.0,0.875,1.0,0.0,0.0,0.0,0.0,0.0,0.8941176470588236,0.6666666666666666,0.8888888888888888,0.0,0.0,0.0,0.0,1.3978494623655915,0.0,0.0,0.0,2.0,0.0,0.0,46.0,0.0,200.0,0.0,0.0,0.0,48.0,36.0,108.0,74.0,0.0,0.0,0.0,0.0,126.0,4.0,0.0,0.0,0.0,0.0,0.0,76.0,18.0,16.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,6.0,0.0,0.0
Kevin Garnett,1.7241379310344827,1.5,1.87012987012987,0.0,0.0,0.0,0.8048780487804879,0.7417218543046358,0.8083333333333333,0.912621359223301,0.8571428571428571,0.0,0.0,0.0,1.0275229357798166,0.0,0.0,0.0,0.0,0.0,2.0,1.1818181818181819,1.3125,1.0819672131147542,0.0,0.0,0.0,0.0,1.4054054054054055,0.0,0.0,0.0,1.2727272727272727,1.2,0.0,50.0,6.0,144.0,0.0,0.0,0.0,132.0,112.0,194.0,188.0,18.0,0.0,0.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,4.0,78.0,84.0,66.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,14.0,6.0,0.0
Kevin Martin,1.6,0.0,2.0,0.0,0.0,0.0,0.5,0.5,0.9411764705882353,0.7368421052631579,0.7058823529411764,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,6.0,6.0,16.0,14.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Keyon Dooling,1.4,0.0,1.3333333333333333,0.0,0.0,0.0,0.8333333333333334,0.8571428571428571,0.7924528301886793,0.7317073170731707,0.8135593220338984,0.0,0.0,0.0,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,56.0,0.0,4.0,0.0,0.0,0.0,20.0,12.0,42.0,90.0,48.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
