playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Drive_18-23 Long Jumper,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_09-12 Short Range,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Layup_24-27 Three,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_24-27 Three,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_24-27 Three,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Drive_18-23 Long Jumper,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_09-12 Short Range,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Layup_24-27 Three,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_24-27 Three,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_24-27 Three
Antonio Davis,1.75,2.0,0.0,0.0,0.0,1.9591836734693877,0.0,0.0,2.0,0.8421052631578947,0.8115942028985508,0.8627450980392157,0.16,0.0,3.0,0.0,0.0,0.6835443037974683,0.0,0.0,0.0,0.0,0.0,2.0,1.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,0.0,192.0,0.0,0.0,2.0,48.0,56.0,88.0,4.0,0.0,3.0,0.0,0.0,162.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
Antonio Lang,1.1428571428571428,0.0,0.0,0.0,0.0,1.8181818181818181,0.0,0.0,0.0,0.5,1.6666666666666667,0.7777777777777778,0.47058823529411764,0.0,0.0,0.0,0.0,0.8076923076923077,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,4.0,10.0,28.0,8.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Antonio McDyess,1.5454545454545454,0.0,0.0,0.0,0.0,1.7272727272727273,0.0,0.0,2.0,0.963855421686747,0.8860759493670886,0.7823343848580442,0.6956521739130435,0.30000000000000004,0.0,0.0,0.0,0.7586206896551724,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,2.0,160.0,140.0,248.0,80.0,3.0,0.0,0.0,0.0,154.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0
Armen Gilliam,1.6923076923076923,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.5925925925925926,0.6956521739130435,0.7076923076923077,0.6666666666666666,0.0,0.0,0.0,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0,1.7777777777777777,1.2972972972972974,1.3333333333333333,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,4.0,32.0,48.0,92.0,4.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,16.0,96.0,12.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Arvydas Sabonis,1.2592592592592593,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6341463414634146,0.6,1.3333333333333333,0.746031746031746,1.5,0.0,0.0,0.0,0.9803921568627451,0.0,0.0,0.0,0.0,0.0,1.4193548387096775,1.0676691729323309,0.7142857142857143,0.0,0.0,1.5384615384615385,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,26.0,6.0,16.0,94.0,24.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,44.0,142.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Avery Johnson,1.5862068965517242,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.6451612903225806,0.6666666666666666,0.9251700680272109,0.8217054263565892,0.3333333333333333,0.0,0.0,0.0,0.8760330578512396,0.0,0.0,0.0,0.0,0.0,2.0,1.6363636363636365,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,20.0,14.0,136.0,106.0,3.0,0.0,0.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Wallace,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Billy Owens,1.5384615384615385,0.0,0.0,0.0,0.0,1.6470588235294117,0.0,0.0,0.0,0.8181818181818182,0.6666666666666666,0.8,0.6929133858267716,1.153846153846154,0.0,0.0,0.0,1.0444444444444445,0.0,0.0,0.0,0.0,0.0,2.0,1.288888888888889,1.4285714285714286,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,54.0,24.0,72.0,88.0,15.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0,10.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0
Bison Dele,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.4,0.75,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,14.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Blue Edwards,1.3333333333333333,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.8,0.4166666666666667,0.7216494845360825,0.7951807228915663,0.75,0.0,0.0,0.0,0.8266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,12.0,10.0,70.0,132.0,24.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
Bo Outlaw,2.0,0.0,0.0,0.0,0.0,1.903225806451613,0.0,0.0,1.0,0.7317073170731707,0.8421052631578947,0.5185185185185185,0.7272727272727273,0.0,0.0,0.0,0.0,1.0807453416149069,0.0,0.0,0.0,0.0,0.0,0.0,1.6363636363636365,0.0,0.0,0.0,1.1851851851851851,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,118.0,0.0,0.0,2.0,30.0,16.0,14.0,8.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0
Bob Sura,1.3262032085561497,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.4,0.6417910447761194,1.1590909090909092,0.0,0.0,0.0,0.7419354838709677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,10.0,2.0,16.0,86.0,51.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Bobby Hurley,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7906976744186046,0.5625,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,34.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
