playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_13-17 Mid Range,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Dunk_13-17 Mid Range,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Layup_18-23 Long Jumper,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_28-34 Deep,PPS_Post_47-94 Backcourt,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_09-12 Short Range,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_13-17 Mid Range,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Dunk_13-17 Mid Range,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Layup_18-23 Long Jumper,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_28-34 Deep,Points_Post_47-94 Backcourt,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_09-12 Short Range,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim
Tracy Murray,1.92,2.0,0.0,0.0,1.8,0.0,0.0,0.0,0.5230769230769231,0.8529411764705882,0.8461538461538461,0.9027777777777778,1.206405693950178,0.0,0.0,0.0,0.8125,0.0,0.0,0.0,0.0,2.0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,48.0,2.0,0.0,0.0,54.0,0.0,0.0,0.0,34.0,58.0,132.0,260.0,339.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,2.0,20.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Travis Best,1.7358490566037736,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3111111111111111,0.7741935483870968,0.7010309278350515,0.7301587301587301,1.08,0.0,0.0,1.5,1.0357142857142858,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,92.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,68.0,92.0,54.0,0.0,0.0,3.0,58.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Travis Knight,2.0,0.0,0.0,0.0,1.7272727272727273,0.0,0.0,0.0,0.2727272727272727,0.6086956521739131,0.675,0.875,0.8823529411764706,0.0,0.0,0.0,0.98989898989899,0.6666666666666666,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.2173913043478262,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,6.0,14.0,54.0,84.0,45.0,0.0,0.0,0.0,98.0,2.0,0.0,0.0,0.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0
Travis Williams,1.6666666666666667,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.169811320754717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,16.0,4.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
Tyrone Corbin,1.3170731707317074,0.0,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.23529411764705882,0.8235294117647058,0.8380952380952381,0.9658536585365853,1.0763358778625953,0.0,0.0,0.0,0.9655172413793104,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,28.0,176.0,198.0,141.0,0.0,0.0,0.0,84.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
Tyrone Hill,1.6363636363636365,0.0,0.0,0.0,1.8285714285714285,0.0,0.0,0.0,0.3137254901960784,0.4,0.6896551724137931,0.0,0.0,0.0,0.0,0.0,1.1055276381909547,0.6,0.0,0.0,0.0,0.5714285714285714,1.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0476190476190477,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,16.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,220.0,6.0,0.0,0.0,0.0,4.0,36.0,2.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
Tyus Edney,1.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7407407407407407,0.125,0.8108108108108109,1.1,1.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,30.0,22.0,6.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vin Baker,1.542857142857143,1.5,0.0,0.0,1.9166666666666667,2.0,0.0,1.0,0.7301587301587301,0.7961165048543689,0.7323943661971831,0.7368421052631579,0.0,0.0,0.0,1.5,1.368421052631579,0.9473684210526315,0.0,0.0,0.0,1.1428571428571428,1.1,0.0,0.0,0.0,0.0,0.0,1.0909090909090908,0.0,0.0,2.0,0.0,0.0,54.0,6.0,0.0,0.0,230.0,2.0,0.0,38.0,184.0,82.0,104.0,56.0,0.0,0.0,0.0,3.0,416.0,18.0,0.0,0.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,2.0,0.0,0.0
Vinny Del Negro,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7857142857142857,0.6984126984126984,0.9078947368421053,0.9171974522292994,1.3333333333333333,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,22.0,44.0,138.0,144.0,48.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vitaly Potapenko,1.6,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.65625,0.6296296296296297,0.7755102040816326,0.782608695652174,0.0,0.0,0.0,0.0,1.0892857142857142,1.0,0.0,0.0,0.0,1.4,1.2923076923076924,1.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,42.0,34.0,76.0,18.0,0.0,0.0,0.0,0.0,122.0,4.0,0.0,0.0,0.0,28.0,84.0,6.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Vlade Divac,1.2,2.0,0.0,0.0,1.793103448275862,0.0,0.0,0.0,0.42105263157894735,0.41379310344827586,0.8181818181818182,0.6190476190476191,0.6000000000000001,0.0,0.0,0.0,1.2911392405063291,1.0,0.0,0.0,0.0,2.0,1.2272727272727273,0.5,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,30.0,6.0,0.0,0.0,52.0,0.0,0.0,0.0,16.0,12.0,72.0,26.0,6.0,0.0,0.0,0.0,204.0,2.0,0.0,0.0,0.0,6.0,54.0,2.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
Voshon Lenard,1.2083333333333333,0.6666666666666666,0.0,0.0,2.0,0.0,0.0,0.6666666666666666,0.3902439024390244,0.7878787878787878,0.7692307692307693,0.8778877887788779,1.1415929203539823,0.0,3.0,0.0,1.1898734177215189,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,58.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,16.0,26.0,80.0,266.0,258.0,0.0,3.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
