playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Drive_09-12 Short Range,PPS_Drive_18-23 Long Jumper,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Layup_09-12 Short Range,PPS_Layup_13-17 Mid Range,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_Reb/Oop_24-27 Three,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,PPS_invalid_13-17 Mid Range,PPS_invalid_18-23 Long Jumper,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Drive_09-12 Short Range,Points_Drive_18-23 Long Jumper,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Layup_09-12 Short Range,Points_Layup_13-17 Mid Range,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_18-23 Long Jumper,Points_Reb/Oop_24-27 Three,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range,Points_invalid_13-17 Mid Range,Points_invalid_18-23 Long Jumper
Stromile Swift,1.2142857142857142,0.0,0.0,0.0,1.7894736842105263,0.0,0.0,0.625,0.7142857142857143,0.6229508196721312,0.4,0.0,0.0,0.0,0.0,0.7967479674796748,0.0,0.0,0.0,2.0,1.0,0.5,0.0,0.0,0.0,0.0,1.1904761904761905,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,136.0,0.0,0.0,50.0,20.0,38.0,6.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,6.0,24.0,2.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Tamar Slay,0.7142857142857143,0.0,0.0,0.0,2.0,0.0,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,4.0,8.0,14.0,18.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tariq Abdul-Wahad,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.3333333333333333,0.3076923076923077,1.1428571428571428,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,2.0,2.0,4.0,8.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tayshaun Prince,1.5,0.0,0.0,0.0,2.0,2.0,0.0,0.5714285714285714,0.8,0.9230769230769231,0.45454545454545453,1.457142857142857,0.0,0.0,0.0,1.0666666666666667,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,2.0,0.0,4.0,4.0,12.0,10.0,51.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terence Morris,1.3333333333333333,0.0,0.0,0.0,1.5,0.0,0.0,1.3333333333333333,0.0,0.9333333333333333,0.9230769230769231,0.42857142857142855,0.0,0.0,0.0,1.3333333333333333,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,14.0,72.0,9.0,0.0,0.0,0.0,40.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Theo Ratliff,1.4545454545454546,0.0,0.0,0.0,1.9622641509433962,0.0,2.0,0.6101694915254238,0.8775510204081632,0.7518796992481203,0.782608695652174,0.0,0.0,0.0,0.0,0.8048780487804879,0.0,0.0,0.0,0.0,1.12,1.5384615384615385,1.3333333333333333,0.0,0.0,0.0,1.1612903225806452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,104.0,0.0,2.0,72.0,86.0,100.0,18.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,28.0,20.0,4.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tierre Brown,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Tim Duncan,1.4615384615384615,1.6666666666666667,0.0,0.0,1.798165137614679,2.0,1.0,0.7410071942446043,0.7631578947368421,0.7647058823529411,1.0149253731343284,0.9375,0.0,0.0,0.0,1.1730769230769231,1.1612903225806452,0.0,0.0,1.2,1.2666666666666666,1.1692307692307693,1.04,1.0,0.0,0.0,1.1228070175438596,0.0,0.0,0.0,0.0,2.0,1.25,0.0,0.0,0.0,38.0,10.0,0.0,0.0,196.0,4.0,2.0,206.0,116.0,156.0,68.0,15.0,0.0,0.0,0.0,244.0,36.0,0.0,0.0,6.0,152.0,76.0,26.0,2.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0
Tim Thomas,1.4285714285714286,0.0,0.0,0.0,1.7142857142857142,0.0,0.0,0.7228915662650602,0.7676767676767676,0.8758169934640523,0.7142857142857143,1.130890052356021,0.0,0.0,0.0,1.006993006993007,0.5,0.0,0.0,0.0,1.5555555555555556,1.0,1.5,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,72.0,0.0,0.0,60.0,76.0,134.0,100.0,216.0,0.0,0.0,0.0,144.0,2.0,0.0,0.0,0.0,14.0,6.0,6.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tito Maddox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
