playername,PPS_Drive_00-02 At Rim,PPS_Drive_03-08 Near Rim,PPS_Dunk_00-02 At Rim,PPS_Dunk_03-08 Near Rim,PPS_Jumper_00-02 At Rim,PPS_Jumper_03-08 Near Rim,PPS_Jumper_09-12 Short Range,PPS_Jumper_13-17 Mid Range,PPS_Jumper_18-23 Long Jumper,PPS_Jumper_24-27 Three,PPS_Jumper_28-34 Deep,PPS_Jumper_35-46 Near Half,PPS_Jumper_47-94 Backcourt,PPS_Layup_00-02 At Rim,PPS_Layup_03-08 Near Rim,PPS_Post_00-02 At Rim,PPS_Post_03-08 Near Rim,PPS_Post_09-12 Short Range,PPS_Post_13-17 Mid Range,PPS_Post_18-23 Long Jumper,PPS_Post_24-27 Three,PPS_Post_28-34 Deep,PPS_Post_35-46 Near Half,PPS_Reb/Oop_00-02 At Rim,PPS_Reb/Oop_03-08 Near Rim,PPS_Reb/Oop_13-17 Mid Range,PPS_Reb/Oop_18-23 Long Jumper,PPS_invalid_00-02 At Rim,PPS_invalid_03-08 Near Rim,PPS_invalid_09-12 Short Range,Points_Drive_00-02 At Rim,Points_Drive_03-08 Near Rim,Points_Dunk_00-02 At Rim,Points_Dunk_03-08 Near Rim,Points_Jumper_00-02 At Rim,Points_Jumper_03-08 Near Rim,Points_Jumper_09-12 Short Range,Points_Jumper_13-17 Mid Range,Points_Jumper_18-23 Long Jumper,Points_Jumper_24-27 Three,Points_Jumper_28-34 Deep,Points_Jumper_35-46 Near Half,Points_Jumper_47-94 Backcourt,Points_Layup_00-02 At Rim,Points_Layup_03-08 Near Rim,Points_Post_00-02 At Rim,Points_Post_03-08 Near Rim,Points_Post_09-12 Short Range,Points_Post_13-17 Mid Range,Points_Post_18-23 Long Jumper,Points_Post_24-27 Three,Points_Post_28-34 Deep,Points_Post_35-46 Near Half,Points_Reb/Oop_00-02 At Rim,Points_Reb/Oop_03-08 Near Rim,Points_Reb/Oop_13-17 Mid Range,Points_Reb/Oop_18-23 Long Jumper,Points_invalid_00-02 At Rim,Points_invalid_03-08 Near Rim,Points_invalid_09-12 Short Range
Sasha Vujacic,1.2307692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.6739130434782609,1.0666666666666667,0.0,0.0,0.0,0.7333333333333333,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,62.0,144.0,0.0,0.0,0.0,22.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Telfair,1.308411214953271,0.0,0.0,0.0,0.0,0.3448275862068966,0.6956521739130435,0.6229508196721312,0.7012987012987013,0.9818181818181818,0.0,1.0,0.0,0.7951807228915663,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,10.0,16.0,38.0,108.0,108.0,0.0,3.0,0.0,66.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Shane Battier,1.3076923076923077,0.0,1.5,0.0,0.0,0.6909090909090909,0.7368421052631579,1.0,0.8368794326241135,0.9807692307692308,0.0,0.0,0.0,1.1633986928104576,2.0,2.0,1.1111111111111112,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,18.0,0.0,0.0,38.0,14.0,66.0,118.0,51.0,0.0,0.0,0.0,178.0,4.0,4.0,50.0,6.0,2.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaquille ONeal,2.0,0.0,1.8830409356725146,0.0,0.0,0.6666666666666666,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.2322274881516588,0.0,2.0,0.8700564971751412,0.6451612903225806,0.0,0.0,0.0,0.0,0.0,1.7333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,322.0,0.0,0.0,78.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,0.0,4.0,154.0,20.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaun Livingston,1.4857142857142858,0.0,1.6,0.0,0.0,0.7428571428571429,0.8571428571428571,0.64,0.6440677966101694,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,1.5555555555555556,2.0,1.4285714285714286,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,8.0,0.0,0.0,26.0,42.0,48.0,38.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,14.0,14.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
Shavlik Randolph,2.0,0.0,1.8666666666666667,2.0,0.0,0.46153846153846156,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.55,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,28.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
Shawn Marion,1.5555555555555556,2.0,1.8857142857142857,0.0,0.0,0.8137931034482758,0.8387096774193549,0.7906976744186046,0.7052023121387283,0.9101123595505618,0.0,0.0,0.0,1.3063063063063063,1.2,2.0,1.375,1.1666666666666667,0.75,0.0,0.0,0.0,0.0,1.521472392638037,0.6666666666666666,0.0,0.0,1.3333333333333333,2.0,0.0,42.0,4.0,198.0,0.0,0.0,118.0,104.0,136.0,122.0,162.0,0.0,0.0,0.0,290.0,6.0,2.0,22.0,14.0,6.0,0.0,0.0,0.0,0.0,248.0,2.0,0.0,0.0,8.0,2.0,0.0
Stephen Graham,1.2,0.0,1.0,0.0,0.0,0.0,2.0,0.5714285714285714,1.0,0.42857142857142855,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,8.0,8.0,10.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephen Jackson,1.6595744680851063,2.0,1.7857142857142858,2.0,0.0,0.5494505494505495,0.6545454545454545,0.7346938775510204,0.7606837606837606,1.018450184501845,0.75,0.0,0.0,0.8556701030927835,1.0,2.0,1.4782608695652173,1.2,1.2222222222222223,1.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,2.0,0.0,0.0,78.0,4.0,50.0,2.0,0.0,50.0,36.0,108.0,178.0,276.0,3.0,0.0,0.0,166.0,2.0,2.0,34.0,18.0,22.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0
Steve Blake,1.4666666666666666,0.0,2.0,0.0,0.0,0.7619047619047619,0.8235294117647058,1.1071428571428572,0.8156424581005587,1.2162162162162162,0.0,0.0,0.0,0.96,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,16.0,14.0,62.0,146.0,180.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
